i,n_ratings,title
789,66,Tommy Boy (1995)
790,10,"Baby-Sitters Club, The (1995)"
791,86,Bullets Over Broadway (1994)
792,10,Crooklyn (1994)
793,46,It Could Happen to You (1994)
794,21,Richie Rich (1994)
795,36,Speechless (1994)
796,31,Timecop (1994)
797,9,Bad Company (1995)
798,5,Boys Life (1995)
799,26,In the Mouth of Madness (1995)
800,16,"Air Up There, The (1994)"
801,40,Hard Target (1993)
802,9,Heaven & Earth (1993)
803,8,Jimmy Hollywood (1994)
804,27,Manhattan Murder Mystery (1993)
805,50,Menace II Society (1993)
806,9,Poetic Justice (1993)
807,31,"Program, The (1993)"
808,43,Rising Sun (1993)
809,45,"Shadow, The (1994)"
810,18,Thirty-Two Short Films About Glenn Gould (1993)
811,18,Andre (1994)
812,56,"Celluloid Closet, The (1995)"
813,1,"Great Day in Harlem, A (1994)"
814,112,One Fine Day (1996)
815,21,Candyman: Farewell to the Flesh (1995)
816,3,Frisk (1995)
817,25,Girl 6 (1996)
818,40,Eddie (1996)
819,93,Space Jam (1996)
820,22,Mrs. Winterbourne (1996)
821,4,Faces (1968)
822,82,Mulholland Falls (1996)
823,49,"Great White Hype, The (1996)"
824,83,"Arrival, The (1996)"
825,80,"Phantom, The (1996)"
826,57,Daylight (1996)
827,13,Alaska (1996)
828,34,Fled (1996)
829,1,Power 98 (1995)
830,91,Escape from L.A. (1996)
831,22,Bogus (1996)
832,49,Bulletproof (1996)
833,25,Halloween: The Curse of Michael Myers (1995)
834,15,"Gay Divorcee, The (1934)"
835,26,Ninotchka (1939)
836,25,Meet John Doe (1941)
837,4,In the Line of Duty 2 (1987)
838,4,Loch Ness (1995)
839,53,Last Man Standing (1996)
840,48,"Glimmer Man, The (1996)"
841,27,Pollyanna (1960)
842,30,"Shaggy Dog, The (1959)"
843,42,Freeway (1996)
844,176,That Thing You Do! (1996)
845,44,To Gillian on Her 37th Birthday (1996)
846,55,Looking for Richard (1996)
847,9,"Murder, My Sweet (1944)"
848,53,Days of Thunder (1990)
849,4,"Perfect Candidate, A (1996)"
850,4,Two or Three Things I Know About Her (1966)
851,1,"Bloody Child, The (1996)"
852,14,Braindead (1992)
853,16,Bad Taste (1987)
854,66,Diva (1981)
855,36,Night on Earth (1991)
856,1,Paris Was a Woman (1995)
857,3,Amityville: Dollhouse (1996)
858,15,April Fool's Day (1986)
859,16,"Believers, The (1987)"
860,3,Nosferatu a Venezia (1986)
861,18,Jingle All the Way (1996)
862,24,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)"
863,86,My Fellow Americans (1996)
864,21,"Ice Storm, The (1997)"
865,119,Michael (1996)
866,6,"Whole Wide World, The (1996)"
867,5,Hearts and Minds (1996)
868,24,Fools Rush In (1997)
869,9,Touch (1997)
870,75,Vegas Vacation (1997)
871,42,Love Jones (1997)
872,81,Picture Perfect (1997)
873,39,Career Girls (1997)
874,53,She's So Lovely (1997)
875,47,Money Talks (1997)
876,52,Excess Baggage (1997)
877,33,That Darn Cat! (1997)
878,136,"Peacemaker, The (1997)"
879,59,Soul Food (1997)
880,45,Money Talks (1997)
881,34,Washington Square (1997)
882,13,Telling Lies in America (1997)
883,7,Year of the Horse (1997)
884,13,Phantoms (1998)
885,53,"Life Less Ordinary, A (1997)"
886,64,Eve's Bayou (1997)
887,15,One Night Stand (1997)
888,13,"Tango Lesson, The (1997)"
889,43,Mortal Kombat: Annihilation (1997)
890,6,Bent (1997)
891,53,Flubber (1997)
892,14,For Richer or Poorer (1997)
893,19,Home Alone 3 (1997)
894,106,Scream 2 (1997)
895,44,"Sweet Hereafter, The (1997)"
896,2,Time Tracers (1995)
897,58,"Postman, The (1997)"
898,9,"Winter Guest, The (1997)"
899,42,Kundun (1997)
900,12,Mr. Magoo (1997)
901,42,"Big Lebowski, The (1998)"
902,18,Afterglow (1997)
903,20,Ma vie en rose (My Life in Pink) (1997)
904,27,Great Expectations (1998)
905,21,Oscar & Lucinda (1997)
906,2,Vermin (1998)
907,20,Half Baked (1998)
908,13,Dangerous Beauty (1998)
909,4,Nil By Mouth (1997)
910,4,Twilight (1998)
911,9,U.S. Marshalls (1998)
912,2,Love and Death on Long Island (1997)
913,11,Wild Things (1998)
914,13,Primary Colors (1998)
915,18,Lost in Space (1998)
916,7,Mercury Rising (1998)
917,8,City of Angels (1998)
918,96,"City of Lost Children, The (1995)"
919,5,Two Bits (1995)
920,46,Farewell My Concubine (1993)
921,34,Dead Man (1995)
922,58,Raise the Red Lantern (1991)
923,85,White Squall (1996)
924,34,Unforgettable (1996)
925,101,Down Periscope (1996)
926,6,"Flower of My Secret, The (Flor de mi secreto, La) (1995)"
927,104,"Craft, The (1996)"
928,40,Harriet the Spy (1996)
929,80,Chain Reaction (1996)
930,57,"Island of Dr. Moreau, The (1996)"
931,40,First Kid (1996)
932,21,"Funeral, The (1996)"
933,68,"Preacher's Wife, The (1996)"
934,7,Paradise Road (1997)
935,32,Brassed Off (1996)
936,37,"Thousand Acres, A (1997)"
937,25,"Smile Like Yours, A (1997)"
938,60,Murder in the First (1995)
939,32,Airheads (1994)
940,46,With Honors (1994)
941,45,What's Love Got to Do with It (1993)
942,40,Killing Zoe (1994)
943,43,Renaissance Man (1994)
944,40,Charade (1963)
945,61,"Fox and the Hound, The (1981)"
946,17,"Big Blue, The (Grand bleu, Le) (1988)"
947,48,Booty Call (1997)
948,71,How to Make an American Quilt (1995)
949,30,Georgia (1995)
950,39,"Indian in the Cupboard, The (1995)"
951,45,Blue in the Face (1995)
952,22,Unstrung Heroes (1995)
953,11,Unzipped (1995)
954,49,Before Sunrise (1995)
955,46,Nobody's Fool (1994)
956,2,Pushing Hands (1992)
957,14,To Live (Huozhe) (1994)
958,64,Dazed and Confused (1993)
959,25,Naked (1993)
960,34,Orlando (1993)
961,23,Ruby in Paradise (1993)
962,41,Some Folks Call It a Sling Blade (1993)
963,9,"Month by the Lake, A (1995)"
964,21,Funny Face (1957)
965,26,"Affair to Remember, An (1957)"
966,12,Little Lord Fauntleroy (1936)
967,18,"Inspector General, The (1949)"
968,75,Winnie the Pooh and the Blustery Day (1968)
969,8,Hear My Song (1991)
970,34,Mediterraneo (1991)
971,28,Passion Fish (1992)
972,4,Grateful Dead (1995)
973,32,Eye for an Eye (1996)
974,44,Fear (1996)
975,12,Solo (1996)
976,49,"Substitute, The (1996)"
977,27,Heaven's Prisoners (1996)
978,35,"Trigger Effect, The (1996)"
979,22,Mother Night (1996)
980,8,Dangerous Ground (1997)
981,20,Maximum Risk (1996)
982,15,"Rich Man's Wife, The (1996)"
983,44,Shadow Conspiracy (1997)
984,22,Blood & Wine (1997)
985,23,Turbulence (1997)
986,4,Underworld (1997)
987,86,"Beautician and the Beast, The (1997)"
988,32,Cats Don't Dance (1997)
989,33,Anna Karenina (1997)
990,25,Keys to Tulsa (1997)
991,4,Head Above Water (1996)
992,66,Hercules (1997)
993,7,"Last Time I Committed Suicide, The (1997)"
994,31,"Kiss Me, Guido (1997)"
995,14,"Big Green, The (1995)"
996,16,Stuart Saves His Family (1995)
997,16,Cabin Boy (1994)
998,10,Clean Slate (1994)
999,10,Lightning Jack (1994)
1000,17,"Stupids, The (1996)"
1001,8,"Pest, The (1997)"
1002,8,That Darn Cat! (1997)
1003,9,Geronimo: An American Legend (1993)
1004,22,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)"
1005,23,Until the End of the World (Bis ans Ende der Welt) (1991)
1006,47,Waiting for Guffman (1996)
1007,37,I Shot Andy Warhol (1996)
1008,64,Stealing Beauty (1996)
1009,44,Basquiat (1996)
1010,93,2 Days in the Valley (1996)
1011,100,Private Parts (1997)
1012,38,Anaconda (1997)
1013,98,Romy and Michele's High School Reunion (1997)
1014,12,Shiloh (1997)
1015,137,Con Air (1997)
1016,50,Trees Lounge (1996)
1017,32,Tie Me Up! Tie Me Down! (1990)
1018,31,"Die xue shuang xiong (Killer, The) (1989)"
1019,35,Gaslight (1944)
1020,38,8 1/2 (1963)
1021,32,"Fast, Cheap & Out of Control (1997)"
1022,31,Fathers' Day (1997)
1023,15,Mrs. Dalloway (1997)
1024,44,Fire Down Below (1997)
1025,4,"Lay of the Land, The (1997)"
1026,3,"Shooter, The (1995)"
1027,148,Grumpier Old Men (1995)
1028,14,Jury Duty (1995)
1029,20,"Beverly Hillbillies, The (1993)"
1030,7,Lassie (1994)
1031,16,Little Big League (1994)
1032,32,Homeward Bound II: Lost in San Francisco (1996)
1033,27,"Quest, The (1996)"
1034,68,Cool Runnings (1993)
1035,24,Drop Dead Fred (1991)
1036,24,Grease 2 (1982)
1037,17,Switchback (1997)
1038,90,Hamlet (1996)
1039,25,Two if by Sea (1996)
1040,62,Forget Paris (1995)
1041,28,Just Cause (1995)
1042,8,Rent-a-Kid (1995)
1043,40,"Paper, The (1994)"
1044,25,Fearless (1993)
1045,46,Malice (1993)
1046,134,Multiplicity (1996)
1047,73,She's the One (1996)
1048,25,House Arrest (1996)
1049,43,"Ghost and Mrs. Muir, The (1947)"
1050,41,"Associate, The (1996)"
1051,25,Dracula: Dead and Loving It (1995)
1052,24,Now and Then (1995)
1053,23,Mr. Wrong (1996)
1054,10,"Simple Twist of Fate, A (1994)"
1055,10,Cronos (1992)
1056,22,"Pallbearer, The (1996)"
1057,15,"War, The (1994)"
1058,35,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
1059,39,"Adventures of Pinocchio, The (1996)"
1060,29,"Evening Star, The (1996)"
1061,12,Four Days in September (1997)
1062,41,"Little Princess, A (1995)"
1063,4,Crossfire (1947)
1064,53,Koyaanisqatsi (1983)
1065,16,Balto (1995)
1066,44,Bottle Rocket (1996)
1067,12,"Star Maker, The (Uomo delle stelle, L') (1995)"
1068,18,Amateur (1994)
1069,27,Living in Oblivion (1995)
1070,16,Party Girl (1995)
1071,7,"Pyromaniac's Love Story, A (1995)"
1072,66,Shallow Grave (1994)
1073,77,Reality Bites (1994)
1074,7,"Man of No Importance, A (1994)"
1075,12,"Pagemaster, The (1994)"
1076,8,Love and a .45 (1994)
1077,22,Oliver & Company (1988)
1078,45,Joe's Apartment (1996)
1079,2,Celestial Clockwork (1994)
1080,8,Curdled (1996)
1081,8,Female Perversions (1996)
1082,6,Albino Alligator (1996)
1083,21,Anne Frank Remembered (1995)
1084,11,Carried Away (1996)
1085,21,It's My Party (1995)
1086,10,Bloodsport 2 (1995)
1087,13,Double Team (1997)
1088,38,Speed 2: Cruise Control (1997)
1089,37,Sliver (1993)
1090,43,Pete's Dragon (1977)
1091,12,Dear God (1996)
1092,23,Live Nude Girls (1995)
1093,12,"Thin Line Between Love and Hate, A (1996)"
1094,29,High School High (1996)
1095,3,Commandments (1997)
1096,18,"Hate (Haine, La) (1995)"
1097,42,Flirting With Disaster (1996)
1098,13,"Red Firecracker, Green Firecracker (1994)"
1099,8,What Happened Was... (1994)
1100,74,Six Degrees of Separation (1993)
1101,7,Two Much (1996)
1102,19,Trust (1990)
1103,4,C'est arrivé près de chez vous (1992)
1104,18,Firestorm (1998)
1105,4,"Newton Boys, The (1998)"
1106,18,Beyond Rangoon (1995)
1107,5,Feast of July (1995)
1108,28,Death and the Maiden (1994)
1109,41,Tank Girl (1995)
1110,7,Double Happiness (1994)
1111,15,Cobb (1994)
1112,22,Mrs. Parker and the Vicious Circle (1994)
1113,10,Faithful (1996)
1114,29,Twelfth Night (1996)
1115,13,"Mark of Zorro, The (1940)"
1116,19,Surviving Picasso (1996)
1117,47,Up in Smoke (1978)
1118,59,Some Kind of Wonderful (1987)
1119,17,I'm Not Rappaport (1996)
1120,21,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
1121,1,They Made Me a Criminal (1939)
1122,3,"Last Time I Saw Paris, The (1954)"
1123,12,"Farewell to Arms, A (1932)"
1124,4,"Innocents, The (1961)"
1125,32,"Old Man and the Sea, The (1958)"
1126,11,"Truman Show, The (1998)"
1127,13,Heidi Fleiss: Hollywood Madam (1995) 
1128,28,Chungking Express (1994)
1129,1,Jupiter's Wife (1994)
1130,13,Safe (1995)
1131,32,Feeling Minnesota (1996)
1132,30,Escape to Witch Mountain (1975)
1133,38,Get on the Bus (1996)
1134,46,"Doors, The (1991)"
1135,29,Ghosts of Mississippi (1996)
1136,29,Beautiful Thing (1996)
1137,5,Best Men (1997)
1138,33,Hackers (1995)
1139,17,"Road to Wellville, The (1994)"
1140,9,"War Room, The (1993)"
1141,44,When We Were Kings (1996)
1142,15,Hard Eight (1996)
1143,3,"Quiet Room, The (1996)"
1144,9,Blue Chips (1994)
1145,3,Calendar Girl (1993)
1146,21,My Family (1995)
1147,9,Tom & Viv (1994)
1148,26,Walkabout (1971)
1149,9,Last Dance (1996)
1150,7,Original Gangstas (1996)
1151,28,In Love and War (1996)
1152,19,Backbeat (1993)
1153,12,Alphaville (1965)
1154,3,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)"
1155,1,Cyclo (1995)
1156,25,"Relic, The (1997)"
1157,4,"Fille seule, La (A Single Girl) (1995)"
1158,11,Stalker (1979)
1159,26,Love! Valour! Compassion! (1997)
1160,13,Palookaville (1996)
1161,5,Phat Beach (1996)
1162,25,"Portrait of a Lady, The (1996)"
1163,6,Zeus and Roxanne (1997)
1164,14,Big Bully (1996)
1165,12,Love & Human Remains (1993)
1166,11,"Sum of Us, The (1994)"
1167,22,Little Buddha (1993)
1168,10,Fresh (1994)
1169,27,Spanking the Monkey (1994)
1170,14,Wild Reeds (1994)
1171,15,"Women, The (1939)"
1172,7,Bliss (1997)
1173,8,Caught (1996)
1174,5,Hugo Pool (1997)
1175,22,Welcome To Sarajevo (1997)
1176,7,Dunston Checks In (1996)
1177,19,Major Payne (1994)
1178,9,Man of the House (1995)
1179,10,I Love Trouble (1994)
1180,10,"Low Down Dirty Shame, A (1994)"
1181,13,Cops and Robbersons (1994)
1182,19,"Cowboy Way, The (1994)"
1183,10,"Endless Summer 2, The (1994)"
1184,18,In the Army Now (1994)
1185,3,"Inkwell, The (1994)"
1186,13,Switchblade Sisters (1975)
1187,44,Young Guns II (1990)
1188,3,Prefontaine (1997)
1189,11,That Old Feeling (1997)
1190,3,"Letter From Death Row, A (1998)"
1191,13,"Boys of St. Vincent, The (1993)"
1192,10,Before the Rain (Pred dozhdot) (1994)
1193,31,Once Were Warriors (1994)
1194,11,Strawberry and Chocolate (Fresa y chocolate) (1993)
1195,3,"Savage Nights (Nuits fauves, Les) (1992)"
1196,45,"Family Thing, A (1996)"
1197,7,Purple Noon (1960)
1198,23,Cemetery Man (Dellamorte Dellamore) (1994)
1199,7,Kim (1950)
1200,1,Marlene Dietrich: Shadow and Light (1996) 
1201,8,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)"
1202,21,Top Hat (1935)
1203,18,To Be or Not to Be (1942)
1204,6,"Secret Agent, The (1996)"
1205,19,Amos & Andrew (1993)
1206,17,Jade (1995)
1207,20,Kiss of Death (1995)
1208,15,Mixed Nuts (1994)
1209,38,Virtuosity (1995)
1210,12,Blue Sky (1994)
1211,6,Flesh and Bone (1993)
1212,6,Guilty as Sin (1993)
1213,9,In the Realm of the Senses (Ai no corrida) (1976)
1214,30,Barb Wire (1996)
1215,6,Kissed (1996)
1216,39,Assassins (1995)
1217,26,Friday (1995)
1218,20,"Goofy Movie, A (1995)"
1219,30,Higher Learning (1995)
1220,39,When a Man Loves a Woman (1994)
1221,25,Judgment Night (1993)
1222,4,King of the Hill (1993)
1223,12,"Scout, The (1994)"
1224,14,Angus (1995)
1225,32,Night Falls on Manhattan (1997)
1226,8,"Awfully Big Adventure, An (1995)"
1227,48,Under Siege 2: Dark Territory (1995)
1228,13,Poison Ivy II (1995)
1229,18,Ready to Wear (Pret-A-Porter) (1994)
1230,22,Marked for Death (1990)
1231,17,Madonna: Truth or Dare (1991)
1232,6,Nénette et Boni (1996)
1233,8,Chairman of the Board (1998)
1234,1,"Big Bang Theory, The (1994)"
1235,1,"Other Voices, Other Rooms (1997)"
1236,6,Twisted (1996)
1237,8,Full Speed (1996)
1238,18,Cutthroat Island (1995)
1239,26,Ghost in the Shell (Kokaku kidotai) (1995)
1240,6,"Van, The (1996)"
1241,5,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)"
1242,7,Night Flier (1997)
1243,36,Metro (1997)
1244,19,Gridlock'd (1997)
1245,7,Bushwhacked (1995)
1246,6,Bad Girls (1994)
1247,19,Blink (1994)
1248,12,For Love or Money (1993)
1249,6,Best of the Best 3: No Turning Back (1995)
1250,8,A Chef in Love (1996)
1251,9,"Contempt (Mépris, Le) (1963)"
1252,7,"Tie That Binds, The (1995)"
1253,11,Gone Fishin' (1997)
1254,8,Broken English (1996)
1255,3,"Designated Mourner, The (1997)"
1256,4,"Designated Mourner, The (1997)"
1257,23,Trial and Error (1997)
1258,4,Pie in the Sky (1995)
1259,4,Total Eclipse (1995)
1260,4,"Run of the Country, The (1995)"
1261,8,Walking and Talking (1996)
1262,15,Foxfire (1996)
1263,7,Nothing to Lose (1994)
1264,19,Star Maps (1997)
1265,12,Bread and Chocolate (Pane e cioccolata) (1973)
1266,33,Clockers (1995)
1267,10,Bitter Moon (1992)
1268,10,Love in the Afternoon (1957)
1269,7,Life with Mikey (1993)
1270,7,North (1994)
1271,5,Talking About Sex (1994)
1272,15,Color of Night (1994)
1273,11,Robocop 3 (1993)
1274,4,Killer (Bulletproof Heart) (1994)
1275,8,Sunset Park (1996)
1276,19,Set It Off (1996)
1277,16,Selena (1997)
1278,9,Wild America (1997)
1279,16,Gang Related (1997)
1280,13,Manny & Lo (1996)
1281,9,"Grass Harp, The (1995)"
1282,19,Out to Sea (1997)
1283,26,Before and After (1996)
1284,15,Princess Caraboo (1994)
1285,17,Shall We Dance? (1937)
1286,6,Ed (1996)
1287,7,Denise Calls Up (1995)
1288,7,Jack and Sarah (1995)
1289,2,Country Life (1994)
1290,15,Celtic Pride (1996)
1291,3,"Simple Wish, A (1997)"
1292,3,Star Kid (1997)
1293,7,Ayn Rand: A Sense of Life (1997)
1294,7,Kicked in the Head (1997)
1295,20,Indian Summer (1996)
1296,12,Love Affair (1994)
1297,9,"Band Wagon, The (1953)"
1298,8,Penny Serenade (1941)
1299,9,'Til There Was You (1997)
1300,5,Stripes (1981)
1301,5,Late Bloomers (1996)
1302,18,"Getaway, The (1994)"
1303,2,New York Cop (1996)
1304,7,National Lampoon's Senior Trip (1995)
1305,2,Delta of Venus (1994)
1306,2,Carmen Miranda: Bananas Is My Business (1994)
1307,2,Babyfever (1994)
1308,1,"Very Natural Thing, A (1974)"
1309,1,"Walk in the Sun, A (1945)"
1310,16,Waiting to Exhale (1995)
1311,7,"Pompatus of Love, The (1996)"
1312,14,Palmetto (1998)
1313,11,Surviving the Game (1994)
1314,23,Inventing the Abbotts (1997)
1315,7,"Horse Whisperer, The (1998)"
1316,4,"Journey of August King, The (1995)"
1317,3,Catwalk (1995)
1318,4,"Neon Bible, The (1995)"
1319,1,Homage (1995)
1320,2,Open Season (1996)
1321,6,Metisse (Café au Lait) (1993)
1322,3,"Wooden Man's Bride, The (Wu Kui) (1994)"
1323,5,Loaded (1994)
1324,1,August (1996)
1325,6,Boys (1996)
1326,3,Captives (1994)
1327,6,Of Love and Shadows (1994)
1328,1,"Low Life, The (1994)"
1329,4,An Unforgettable Summer (1994)
1330,4,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)"
1331,2,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)
1332,5,Midnight Dancers (Sibak) (1994)
1333,2,Somebody to Love (1994)
1334,11,American Buffalo (1996)
1335,10,Kazaam (1996)
1336,9,Larger Than Life (1996)
1337,4,Two Deaths (1995)
1338,1,Stefano Quantestorie (1993)
1339,1,"Crude Oasis, The (1995)"
1340,1,Hedd Wyn (1992)
1341,2,"Convent, The (Convento, O) (1995)"
1342,1,Lotto Land (1995)
1343,5,"Story of Xinghua, The (1993)"
1344,2,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)"
1345,5,Dingo (1992)
1346,4,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
1347,1,Every Other Weekend (1990)
1348,1,Mille bolle blu (1993)
1349,2,Crows and Sparrows (1949)
1350,3,Lover's Knot (1996)
1351,1,Shadow of Angels (Schatten der Engel) (1976)
1352,5,1-900 (1994)
1353,2,Venice/Venice (1992)
1354,6,Infinity (1996)
1355,3,Ed's Next Move (1996)
1356,3,For the Moment (1994)
1357,2,The Deadly Cure (1996)
1358,2,Boys in Venice (1996)
1359,2,"Sexual Life of the Belgians, The (1994)"
1360,3,"Search for One-eye Jimmy, The (1996)"
1361,2,American Strays (1996)
1362,1,"Leopard Son, The (1996)"
1363,1,Bird of Prey (1996)
1364,2,Johnny 100 Pesos (1993)
1365,1,JLG/JLG - autoportrait de décembre (1994)
1366,5,Faust (1994)
1367,6,Mina Tannenbaum (1994)
1368,4,"Forbidden Christ, The (Cristo proibito, Il) (1950)"
1369,3,I Can't Sleep (J'ai pas sommeil) (1994)
1370,2,"Machine, The (1994)"
1371,3,"Stranger, The (1994)"
1372,1,Good Morning (1971)
1373,2,Falling in Love Again (1980)
1374,10,"Cement Garden, The (1993)"
1375,7,Meet Wally Sparks (1997)
1376,4,Hotel de Love (1996)
1377,5,Rhyme & Reason (1997)
1378,7,Love and Other Catastrophes (1996)
1379,6,Hollow Reed (1996)
1380,8,Losing Chase (1996)
1381,4,"Bonheur, Le (1965)"
1382,6,"Second Jungle Book: Mowgli & Baloo, The (1997)"
1383,3,Squeeze (1996)
1384,5,Roseanna's Grave (For Roseanna) (1997)
1385,6,Tetsuo II: Body Hammer (1992)
1386,3,Fall (1997)
1387,6,Gabbeh (1996)
1388,3,Mondo (1996)
1389,2,"Innocent Sleep, The (1995)"
1390,3,For Ever Mozart (1996)
1391,5,"Locusts, The (1997)"
1392,9,Stag (1997)
1393,7,Swept from the Sea (1997)
1394,6,Hurricane Streets (1998)
1395,5,Stonewall (1995)
1396,5,Of Human Bondage (1934)
1397,2,Anna (1996)
1398,7,Stranger in the House (1997)
1399,10,Picture Bride (1995)
1400,18,M. Butterfly (1993)
1401,4,"Ciao, Professore! (1993)"
1402,4,Caro Diario (Dear Diary) (1994)
1403,13,Withnail and I (1987)
1404,6,Boy's Life 2 (1997)
1405,5,When Night Is Falling (1995)
1406,20,"Specialist, The (1994)"
1407,3,Gordy (1995)
1408,7,"Swan Princess, The (1994)"
1409,4,Harlem (1993)
1410,28,Barbarella (1968)
1411,6,Land Before Time III: The Time of the Great Giving (1995) (V)
1412,8,Street Fighter (1994)
1413,1,Coldblooded (1995)
1414,9,"Next Karate Kid, The (1994)"
1415,5,No Escape (1994)
1416,2,"Turning, The (1992)"
1417,3,"Joy Luck Club, The (1993)"
1418,16,Highlander III: The Sorcerer (1994)
1419,3,Gilligan's Island: The Movie (1998)
1420,11,My Crazy Life (Mi vida loca) (1993)
1421,4,Suture (1993)
1422,4,"Walking Dead, The (1995)"
1423,3,I Like It Like That (1994)
1424,10,I'll Do Anything (1994)
1425,8,Grace of My Heart (1996)
1426,5,Drunks (1995)
1427,12,SubUrbia (1997)
1428,4,Sliding Doors (1998)
1429,3,Ill Gotten Gains (1997)
1430,5,Legal Deceit (1997)
1431,3,"Mighty, The (1998)"
1432,2,Men of Means (1998)
1433,10,Shooting Fish (1997)
1434,7,"Steal Big, Steal Little (1995)"
1435,2,Mr. Jones (1993)
1436,9,House Party 3 (1994)
1437,5,Panther (1995)
1438,8,Jason's Lyric (1994)
1439,5,Above the Rim (1994)
1440,7,Moonlight and Valentino (1995)
1441,5,"Scarlet Letter, The (1995)"
1442,4,8 Seconds (1994)
1443,19,That Darn Cat! (1965)
1444,4,Ladybird Ladybird (1994)
1445,15,"Bye Bye, Love (1995)"
1446,1,Century (1993)
1447,3,My Favorite Season (1993)
1448,8,Pather Panchali (1955)
1449,2,Golden Earrings (1947)
1450,15,Foreign Correspondent (1940)
1451,1,Lady of Burlesque (1943)
1452,1,Angel on My Shoulder (1946)
1453,6,Angel and the Badman (1947)
1454,2,"Outlaw, The (1943)"
1455,7,Beat the Devil (1954)
1456,1,Love Is All There Is (1996)
1457,1,"Damsel in Distress, A (1937)"
1458,7,Madame Butterfly (1995)
1459,1,Sleepover (1995)
1460,1,Here Comes Cookie (1935)
1461,7,"Thieves (Voleurs, Les) (1996)"
1462,3,"Boys, Les (1997)"
1463,3,"Stars Fell on Henrietta, The (1995)"
1464,3,Last Summer in the Hamptons (1995)
1465,6,Margaret's Museum (1995)
1466,2,"Saint of Fort Washington, The (1993)"
1467,6,"Cure, The (1995)"
1468,12,Tom and Huck (1995)
1469,5,Gumby: The Movie (1995)
1470,9,Hideaway (1995)
1471,2,"Visitors, The (Visiteurs, Les) (1993)"
1472,9,"Little Princess, The (1939)"
1473,6,Nina Takes a Lover (1994)
1474,8,Bhaji on the Beach (1993)
1475,1,Raw Deal (1948)
1476,2,Nightwatch (1997)
1477,18,Dead Presidents (1995)
1478,8,Reckless (1995)
1479,11,Herbie Rides Again (1974)
1480,2,S.F.W. (1994)
1481,1,"Gate of Heavenly Peace, The (1995)"
1482,12,"Man in the Iron Mask, The (1998)"
1483,3,"Jerky Boys, The (1994)"
1484,4,"Colonel Chabert, Le (1994)"
1485,1,Girl in the Cadillac (1995)
1486,5,Even Cowgirls Get the Blues (1993)
1487,4,Germinal (1993)
1488,5,Chasers (1994)
1489,3,Fausto (1993)
1490,2,Tough and Deadly (1995)
1491,1,Window to Paris (1994)
1492,1,"Modern Affair, A (1995)"
1493,1,"Mostro, Il (1994)"
1494,5,Flirt (1995)
1495,5,Carpool (1996)
1496,2,"Line King: Al Hirschfeld, The (1996)"
1497,1,Farmer & Chase (1995)
1498,4,Grosse Fatigue (1994)
1499,2,Santa with Muscles (1996)
1500,5,Prisoner of the Mountains (Kavkazsky Plennik) (1996)
1501,2,Naked in New York (1994)
1502,10,Gold Diggers: The Secret of Bear Mountain (1995)
1503,3,"Bewegte Mann, Der (1994)"
1504,1,Killer: A Journal of Murder (1995)
1505,3,Nelly & Monsieur Arnaud (1995)
1506,1,Three Lives and Only One Death (1996)
1507,3,"Babysitter, The (1995)"
1508,5,Getting Even with Dad (1994)
1509,1,Mad Dog Time (1996)
1510,5,Children of the Revolution (1996)
1511,6,"World of Apu, The (Apur Sansar) (1959)"
1512,3,Sprung (1997)
1513,7,Dream With the Fishes (1997)
1514,1,Wings of Courage (1995)
1515,3,"Wedding Gift, The (1994)"
1516,5,Race the Sun (1996)
1517,12,Losing Isaiah (1995)
1518,2,New Jersey Drive (1995)
1519,1,"Fear, The (1995)"
1520,4,Mr. Wonderful (1993)
1521,7,Trial by Jury (1994)
1522,2,"Good Man in Africa, A (1994)"
1523,8,Kaspar Hauser (1993)
1524,1,"Object of My Affection, The (1998)"
1525,1,Witness (1985)
1526,7,Senseless (1998)
1527,3,Nowhere (1997)
1528,5,Underground (1995)
1529,5,Jefferson in Paris (1995)
1530,7,Far From Home: The Adventures of Yellow Dog (1995)
1531,2,Foreign Student (1994)
1532,1,I Don't Want to Talk About It (De eso no se habla) (1993)
1533,6,Twin Town (1997)
1534,4,"Enfer, L' (1994)"
1535,1,Aiqing wansui (1994)
1536,4,Cosi (1996)
1537,3,All Over Me (1997)
1538,4,Being Human (1993)
1539,10,"Amazing Panda Adventure, The (1995)"
1540,2,"Beans of Egypt, Maine, The (1994)"
1541,2,"Scarlet Letter, The (1926)"
1542,1,Johns (1996)
1543,3,It Takes Two (1995)
1544,4,Frankie Starlight (1995)
1545,1,Shadows (Cienie) (1988)
1546,2,"Show, The (1995)"
1547,1,The Courtyard (1995)
1548,2,Dream Man (1995)
1549,2,Destiny Turns on the Radio (1995)
1550,2,"Glass Shield, The (1994)"
